Shoulders + Arms | 2024-01-04T19:37:52.112Z
Pull | 2024-01-02T18:04:47.818Z
Push | 2023-12-31T12:24:32.091Z
Legs | 2023-12-29T17:36:42.256Z
Shoulders + Arms | 2023-12-28T12:55:24.533Z
Pull | 2023-12-26T18:00:33.517Z
Push | 2023-12-24T12:38:10.065Z
Legs | 2023-12-23T13:01:46.490Z
Shoulders + Arms | 2023-12-22T13:47:03.690Z
Pull | 2023-12-19T13:14:44.183Z
Push | 2023-12-18T13:14:32.434Z
Legs | 2023-12-16T12:05:35.043Z
Shoulders + Arms | 2023-12-15T19:34:09.703Z
Pull | 2023-12-12T18:21:37.136Z
Push | 2023-12-11T17:31:03.514Z
Legs | 2023-12-09T12:07:32.941Z
Shoulders + Arms | 2023-12-08T12:25:57.781Z
Pull | 2023-12-05T18:16:36.007Z
Push | 2023-12-04T18:03:34.081Z
Legs | 2023-12-02T12:28:14.745Z
Shoulders + Arms | 2023-11-30T18:01:22.605Z
Lower B | 2023-11-28T17:59:31.088Z
Upper A | 2023-11-27T18:02:18.219Z
Lower A | 2023-11-25T13:08:23.265Z
Upper B | 2023-11-24T13:57:58.662Z
Lower B | 2023-11-21T17:42:47.297Z
Upper A | 2023-11-20T18:17:19.695Z
Upper B | 2023-11-17T13:59:40.552Z
Lower B | 2023-11-15T17:18:43.496Z
Upper A | 2023-11-14T18:08:37.422Z
Lower A | 2023-11-12T12:06:13.485Z
Upper B | 2023-11-11T14:08:36.718Z
Lower A | 2023-11-04T12:06:45.461Z
Upper A | 2023-11-03T13:49:52.657Z
Lower B | 2023-10-31T17:46:13.881Z
Upper B | 2023-10-30T17:48:19.293Z
Lower A | 2023-10-28T11:30:29.175Z
Upper A | 2023-10-27T12:56:17.456Z
Lower B | 2023-10-24T17:16:48.831Z
Upper B | 2023-10-23T16:50:39.435Z
Upper A | 2023-10-20T12:55:26.505Z
Lower B | 2023-10-17T17:18:38.324Z
Upper B | 2023-10-16T17:00:33.570Z
Lower A | 2023-10-14T11:08:57.324Z
Upper A | 2023-10-13T12:41:26.267Z
Lower B | 2023-10-10T17:08:21.401Z
Upper B | 2023-10-09T17:03:56.137Z
Lower A | 2023-10-06T12:05:25.804Z
Upper A | 2023-10-05T11:17:25.438Z
Lower B | 2023-10-03T16:50:54.151Z
Upper B | 2023-10-02T16:42:17.635Z
Lower A | 2023-09-30T11:25:06.032Z
Upper A | 2023-09-29T12:47:24.180Z
Lower B | 2023-09-26T16:40:15.379Z
Upper B | 2023-09-25T15:48:35.819Z
Lower A | 2023-09-23T10:57:12.375Z
Upper A | 2023-09-22T12:40:46.257Z
Lower B | 2023-09-19T16:43:25.565Z
Upper B | 2023-09-18T17:17:39.895Z
Lower A | 2023-09-16T16:59:14.777Z
Upper A | 2023-09-15T10:40:46.278Z
Lower A | 2023-09-12T09:12:22.396Z
Upper B | 2023-09-11T17:05:55.169Z
Lower A | 2023-09-09T10:58:29.257Z
Upper A | 2023-09-08T16:11:08.672Z
Lower A | 2023-09-06T16:32:27.158Z
Upper B | 2023-09-05T16:38:06.888Z
Lower A | 2023-09-02T17:16:01.116Z
Upper A | 2023-09-01T16:59:20.203Z
Lower | 2023-08-30T17:34:55.216Z
